order_id,sku_code,quantity,timestamp
OR-489434,85048,12,2009-12-01T07:45:00
OR-489434,22041,48,2009-12-01T07:45:00
OR-489434,21232,24,2009-12-01T07:45:00
OR-489434,22064,24,2009-12-01T07:45:00
OR-489434,21871,24,2009-12-01T07:45:00
OR-489434,21523,10,2009-12-01T07:45:00
OR-489435,22349,12,2009-12-01T07:46:00
OR-489435,22195,24,2009-12-01T07:46:00
OR-489435,22353,12,2009-12-01T07:46:00
OR-489436,48173C,10,2009-12-01T09:06:00
OR-489436,21755,18,2009-12-01T09:06:00
OR-489436,21754,3,2009-12-01T09:06:00
OR-489436,84879,16,2009-12-01T09:06:00
OR-489436,22142,12,2009-12-01T09:06:00
OR-489436,22296,12,2009-12-01T09:06:00
OR-489436,22295,12,2009-12-01T09:06:00
OR-489436,22109,16,2009-12-01T09:06:00
OR-489436,22107,4,2009-12-01T09:06:00
OR-489436,82582,12,2009-12-01T09:06:00
OR-489436,21181,12,2009-12-01T09:06:00
OR-489436,21756,3,2009-12-01T09:06:00
OR-489436,84596F,8,2009-12-01T09:06:00
OR-489436,22111,24,2009-12-01T09:06:00
OR-489437,22130,12,2009-12-01T09:08:00
OR-489437,35400,2,2009-12-01T09:08:00
OR-489437,37370,12,2009-12-01T09:08:00
OR-489437,10002,12,2009-12-01T09:08:00
OR-489437,21987,12,2009-12-01T09:08:00
OR-489437,21989,12,2009-12-01T09:08:00
OR-489437,84970S,12,2009-12-01T09:08:00
OR-489437,20971,12,2009-12-01T09:08:00
OR-489437,22271,6,2009-12-01T09:08:00
OR-489437,22274,6,2009-12-01T09:08:00
OR-489437,21912,4,2009-12-01T09:08:00
OR-489437,22111,3,2009-12-01T09:08:00
OR-489437,22112,3,2009-12-01T09:08:00
OR-489438,21329,28,2009-12-01T09:24:00
OR-489438,21033,30,2009-12-01T09:24:00
OR-489438,20711,60,2009-12-01T09:24:00
OR-489438,21411,32,2009-12-01T09:24:00
OR-489438,84032A,60,2009-12-01T09:24:00
OR-489438,84032B,56,2009-12-01T09:24:00
OR-489439,22065,12,2009-12-01T09:28:00
OR-489439,22138,9,2009-12-01T09:28:00
OR-489439,22139,9,2009-12-01T09:28:00
OR-489439,22352,12,2009-12-01T09:28:00
OR-489439,85014A,3,2009-12-01T09:28:00
OR-489439,85014B,3,2009-12-01T09:28:00
OR-489439,16161P,25,2009-12-01T09:28:00
