code,name,weight_kg,volume_m3,category
10002,INFLATABLE POLITICAL GLOBE,1.7211,0.0041,General
15036,ASSORTED COLOURS SILK FAN,0.1411,0.0189,General
15056BL,EDWARDIAN PARASOL BLACK,0.3872,0.0378,General
15056N,EDWARDIAN PARASOL NATURAL,2.8971,0.017,General
15060B,FAIRY CAKE DESIGN UMBRELLA,1.7455,0.0389,Decor
16156S,WRAP PINK FAIRY CAKES,2.952,0.031,General
16161P,WRAP ENGLISH ROSE,0.6611,0.0475,General
16237,SLEEPING CAT ERASERS,0.5479,0.0442,General
17003,BROCADE RING PURSE,0.0737,0.0256,General
20658,RED SPOTTY LUGGAGE TAG,1.281,0.0369,General
20668,DISCO BALL CHRISTMAS DECORATION,2.3721,0.0228,Seasonal
20674,GREEN POLKADOT BOWL,0.9714,0.0418,Kitchen
20675,BLUE POLKADOT BOWL,2.4845,0.0307,Kitchen
20676,RED RETROSPOT BOWL,1.6035,0.0468,Kitchen
20677,PINK POLKADOT BOWL,0.3831,0.0461,Kitchen
20679,EDWARDIAN PARASOL RED,2.6604,0.0302,General
20682,RED RETROSPOT CHILDRENS UMBRELLA,0.5956,0.0066,General
20685,DOORMAT RED RETROSPOT,1.838,0.0468,General
20711,JUMBO BAG TOYS,1.8479,0.0192,Bags
20712,JUMBO BAG WOODLAND ANIMALS,2.0478,0.0066,Bags
20713,JUMBO BAG OWLS,1.9843,0.026,Bags
20717,STRAWBERRY SHOPPER BAG,1.5855,0.0137,Bags
20718,RED RETROSPOT SHOPPER BAG,1.42,0.0196,Bags
20719,WOODLAND CHARLOTTE BAG,1.2596,0.009,Bags
20723,STRAWBERRY CHARLOTTE BAG,0.3314,0.0012,Bags
20724,RED RETROSPOT CHARLOTTE BAG,2.1123,0.0425,Bags
20725,LUNCH BAG RED RETROSPOT,1.7667,0.0372,Bags
20726,LUNCH BAG WOODLAND,1.6368,0.0043,Bags
20727,LUNCH BAG  BLACK SKULL.,1.3129,0.0495,Bags
20728,LUNCH BAG CARS BLUE,1.5451,0.003,Bags
20749,ASSORTED COLOUR MINI CASES,0.439,0.0182,General
20750,RED RETROSPOT MINI CASES,1.5153,0.0268,General
20751,FUNKY WASHING UP GLOVES ASSORTED,1.0159,0.0333,General
20752,BLUE POLKADOT WASHING UP GLOVES,2.3694,0.0453,General
20754,RETROSPOT RED WASHING UP GLOVES,0.1324,0.0285,General
20828,GLITTER BUTTERFLY CLIPS,2.9795,0.0065,General
20829,GLITTER HANGING BUTTERFLY STRING,2.9254,0.0434,General
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2.2248,0.0482,Kitchen
20961,STRAWBERRY BATH SPONGE,2.4506,0.02,General
20963,APPLE BATH SPONGE,2.3525,0.0216,General
20966,SANDWICH BATH SPONGE,0.0917,0.0441,General
20969,RED FLORAL FELTCRAFT SHOULDER BAG,0.3275,0.0094,Bags
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,2.5524,0.0308,Bags
20971,PINK BLUE FELT CRAFT TRINKET BOX,0.3876,0.0418,General
20972,PINK CREAM FELT CRAFT TRINKET BOX,1.7862,0.0032,General
20973,12 PENCIL SMALL TUBE WOODLAND,1.0665,0.0029,Stationery
20974,12 PENCILS SMALL TUBE SKULL,1.178,0.0165,Stationery
20975,12 PENCILS SMALL TUBE RED RETROSPOT,2.201,0.0159,Stationery
20977,36 PENCILS TUBE WOODLAND,1.4243,0.0407,Stationery
20978,36 PENCILS TUBE SKULLS,1.3751,0.0214,Stationery
20979,36 PENCILS TUBE RED RETROSPOT,1.0591,0.0036,Stationery
